Time,Armed,Event,State,MachTimer,FailSafeTimer,FailSafeMainTimer,h,v,H_SHT,T_SHT,T_CPU,T_BARO1,T_BARO2,T_IMU1,T_IMU2,P_BARO1,P_BARO2,Ax_IMU1,Ay_IMU1,Az_IMU1,Gx_IMU1,Gy_IMU1,Gz_IMU1,Ax_IMU2,Ay_IMU2,Az_IMU2,Gx_IMU2,Gy_IMU2,Gz_IMU2,Ax_H3L,Ay_H3L,Az_H3L,I_BAT1,I_BAT2,V_BAT1,V_BAT2,V_LDR,V_TD1,V_TD2
,0,0,1,0,0,0,0.0,0.01,48.85,23.15,22.32,0.0,0.0,29.49,28.49,0.0,0.0,-1.32,-9.63,0.34,0.73,-1.95,0.24,-0.96,-9.75,0.65,0.0,-1.4,0.91,0.96,16.34,47.59,-19970.7,-19958.5,12.64,0.05,1.35,12.46,0.0
31944.0,0,0,1,0,0,0,0.0,0.0,48.85,23.15,24.25,22.7,22.38,29.48,28.51,101155.77,-179529.38,-1.3,-9.63,0.41,0.73,-1.95,0.3,-0.96,-9.77,0.74,-0.06,-1.71,0.85,0.96,13.94,44.22,-19812.01,-19848.63,12.54,0.04,1.34,12.21,0.0
31970.0,0,0,1,0,0,0,0.0,0.0,48.85,23.15,24.57,22.75,22.42,29.48,28.51,101150.22,-179544.27,-1.27,-9.63,0.39,0.67,-1.95,0.18,-0.91,-9.76,0.7,0.0,-1.77,0.79,-0.48,20.67,42.78,-19860.84,-19860.84,12.54,0.05,1.35,12.22,0.0
31995.0,0,0,1,0,0,0,0.0,0.0,48.85,23.15,23.61,22.78,22.47,29.48,28.5,101157.22,-179564.69,-1.29,-9.62,0.39,0.61,-1.59,0.06,-0.94,-9.76,0.71,-0.12,-1.4,0.67,3.36,17.3,57.68,-19812.01,-20739.75,12.51,0.04,1.34,12.27,0.0
32020.0,0,0,1,0,0,0,0.0,0.0,49.22,23.0,24.9,22.82,22.5,29.48,28.51,101159.22,-179575.33,-1.33,-9.61,0.4,0.37,-1.59,0.0,-0.98,-9.76,0.71,-0.3,-1.46,0.61,4.81,17.3,41.34,-19567.87,-20019.53,12.55,0.06,1.33,12.21,0.0
32046.0,0,0,1,0,0,0,0.0,0.0,49.22,23.0,23.93,22.85,22.53,29.48,28.5,101164.97,-179590.23,-1.29,-9.61,0.41,0.3,-1.71,-0.06,-0.94,-9.77,0.77,-0.43,-1.59,0.61,0.48,13.94,49.51,-20117.19,-20043.95,12.5,0.05,1.35,12.21,0.01
32071.0,0,0,1,0,0,0,0.0,0.0,49.22,23.0,24.25,22.89,-572.66,29.49,28.52,101151.98,-175800.81,-1.28,-9.63,0.41,0.24,-1.34,-0.06,-0.9,-9.77,0.73,-0.43,-1.22,0.55,1.92,17.3,48.55,-19628.91,-19970.7,12.45,0.0,1.33,12.22,0.0
32097.0,0,0,1,0,0,0,0.0,0.0,49.22,23.0,25.54,22.91,22.58,29.5,28.51,101168.55,101237.23,-1.33,-9.63,0.4,0.06,-1.22,0.0,-0.97,-9.77,0.69,-0.61,-1.04,0.55,-0.48,20.19,48.07,-19921.88,-19653.32,12.51,0.04,1.38,12.21,0.02
32123.0,0,0,1,0,0,0,0.0,0.0,49.2,23.07,25.22,22.91,22.58,29.5,28.5,101168.55,101237.23,-1.29,-9.64,0.42,0.06,-1.59,-0.06,-0.93,-9.78,0.76,-0.67,-1.46,0.61,-0.48,15.38,39.42,-19921.88,-19787.6,12.57,0.05,1.36,12.23,0.0
32149.0,0,0,1,0,0,0,0.0,0.0,49.2,23.07,24.9,22.91,22.59,29.5,28.51,101167.52,-179614.06,-1.25,-9.65,0.41,0.0,-1.4,-0.06,-0.9,-9.77,0.72,-0.79,-1.22,0.67,5.29,17.79,42.3,-19738.77,-20019.53,12.55,0.0,1.36,12.16,0.02
32174.0,0,0,1,0,0,0,0.0,0.0,49.2,23.07,24.9,22.93,22.61,29.5,28.5,101175.75,-179622.58,-1.27,-9.64,0.36,-0.06,-1.04,0.06,-0.93,-9.77,0.68,-0.79,-0.85,0.67,2.4,18.27,49.51,-19738.77,-19934.08,12.46,0.07,1.34,12.19,0.01
32199.0,0,0,1,0,0,0,0.0,0.0,49.2,23.07,23.93,22.96,22.62,29.5,28.5,101161.45,-179626.83,-1.29,-9.63,0.41,0.0,-1.1,0.18,-0.94,-9.76,0.74,-0.73,-0.98,0.85,-0.96,9.13,46.15,-19055.18,-19738.77,12.48,0.06,1.36,11.88,0.02
32224.0,0,0,1,0,0,0,0.0,0.0,49.3,23.14,24.9,22.97,22.65,29.51,28.52,101168.89,101286.92,-1.29,-9.62,0.45,0.12,-1.59,0.3,-0.94,-9.76,0.76,-0.55,-1.4,0.91,4.81,20.19,49.03,-19836.43,-20190.43,12.54,0.04,1.36,12.23,0.0
